L1,L2,L3,L4,LC_UNQ,L1-label,L2-label,L3_Label,L4_Label,L5_label,Text,details,L1_name,L2_name,L3_name,L4_name,UNQ_name,,CropNoCrop
10,20,22,16,16,,,,"crusted soil, e.g. glacis",,"                 crusted soil, e.g. glacis",,NoVeg,NoVeg_Bare,dirt,glacis,glacis,,98
10,30,23,23,23,,,developed village area,,,            developed village area ,mostly mud or thatched materials,NoVeg,NoVeg_Built,village,village,village,,98
10,20,24,24,24,,,mudflat,,,            mudflat,,NoVeg,NoVeg_Bare,mudflat,mudflat,mudflat,,98
10,20,17,17,17,,,temporary bare - ag rest of year ,,,            temporarily bare - ag rest of year ,"For snapshot classification; for annual classification, use crop class",NoVeg,NoVeg_Bare,ag_bare,ag_bare_any,ag_bare_any,,98
10,20,17,17,26,,,,      harvested crop - cuttings or crop residue present,,                     harvested crop,cuttings or crop residue present,NoVeg,NoVeg_Bare,ag_bare,ag_harvested,ag_harvested,,98
10,20,17,17,7,,,,      tilled soil / recently planted crop,,                     tilled soil / recently planted crop,,NoVeg,NoVeg_Bare,ag_bare,ag_tilled,ag_tilled,,98
10,20,27,27,27,,,cleared - previously med-highveg,,,            cleared - previously med-highveg,"Med/High vegetation has been cleared witin the year, but no other land use is evident. Debris / dead veg usually visible",NoVeg,NoVeg_Bare,cleared,cleared,cleared,,98
10,30,30,30,30,,NoVeg_Built,,,,     NoVeg_Built,,NoVeg,NoVeg_Built,built,built,built,,98
10,30,33,33,32,,,concrete / pavement / asphalt,,,           concrete / pavement / asphalt,,NoVeg,NoVeg_Built,concrete,concrete_any,concrete_any,,98
10,30,31,31,31,,,,paved road,,                 paved road,,NoVeg,NoVeg_Built,concrete,road_paved,road_paved,,98
10,30,34,34,34,,,bridge / port / dock,,,          bridge / port / dock,both water and built in pixel,NoVeg,NoVeg_Built,concrete,bridge,bridge,,98
10,30,38,38,38,,,"roofing materials (non-metal, mixed or unknown) ",,,"          roofing materials (non-metal, mixed or unknown) ",,NoVeg,NoVeg_Built,roofing,roof,roof,,98
10,30,32,35,35,,,,zinc - tin roofing,,                zinc - tin roofing,80-100% built materials,NoVeg,NoVeg_Built,roofing,metal,metal,,98
10,30,36,36,36,,,"mixed development, medium intsensity",,,"          mixed development, medium intsensity","50-79% built material (typically residential, but depends on resolution)",NoVeg,NoVeg_Built,built_mix_medden,built_mix_medden,built_mix_medden,,98
10,30,33,33,33,,,mixed industrial,,,"           mixed development,  industrial","80-100% mixed built material (typically commercial / industrial, but depends on resolution)",NoVeg,NoVeg_Built,built_mix_highden,built_mix_highden,built_mix_highden,,98
10,30,37,37,37,,,irrigation / drainage infrastructure - dry at observation,,,           irrigation / drainage infrastructure,dry at observation,NoVeg,NoVeg_Built,built_aquainfrastruct,aqua_infrastructure,aqua_infrastructure,,98
10,30,39,39,39,,,"mining / extraction pit, dry",,,"           mining / extraction pit, dry",,NoVeg,NoVeg_Built,built_mining,mine,mine,,98
10,40,40,40,40,,NoVeg_Water,,,,     NoVeg_Water,,NoVeg,NoVeg_Water,water,water,water,,98
10,40,42,42,42,,,ocean,,,            ocean,,NoVeg,NoVeg_Water,ocean,ocean,ocean,,98
10,40,41,41,41,,,river,,,            river,,NoVeg,NoVeg_Water,river,river,river,,98
10,40,43,43,43,,,swimming pool,,,            swimming pool,,NoVeg,NoVeg_Water,pool,pool_urban,pool_urban,,98
10,40,44,44,44,,,seasonal pond,,,             seasonal pond,wet at least 4 months of year,NoVeg,NoVeg_Water,water_seasonal,water_seasonal,water_seasonal,,98
10,40,45,45,45,,,lake or pond,,,             lake or pond,water is present in pixel all year,NoVeg,NoVeg_Water,lake,lake,lake,,98
10,40,46,46,46,,,estuarie / brackish water,,,             estuarie / brackish water,,NoVeg,NoVeg_Water,estuarie,estuarie,estuarie,,98
10,40,47,47,47,,,aquaculture,,,             aquaculture,,NoVeg,NoVeg_Water,aquaculture,aquaculture,aquaculture,,98
10,40,48,48,48,,,unusual flooding,,,             unusual flooding,,NoVeg,NoVeg_Water,flooded,flooded,flooded,,98
10,40,49,49,49,,,mining / extraction / toxic waste pool (wet),,,           mining / extraction / toxic waste pool (wet),,NoVeg,NoVeg_Built,built_mining,pool_industrial,pool_industrial,,98
10,50,50,50,50,,Mixed_lowVegNoVeg,,,,       Mixed_lowVegNoVeg,>20% NoVeg_bare/built and >30% LowVeg (and not Built or TreePlant_new) ,NoVeg,Mixed_LowNo,mixed_LowNo,mixed_LowNo,mixed_LowNo,,98
10,50,58,52,52,,,rock with some vegetation,,,             rock with some vegetation,>=50% rock with >=30% low vegetation or 5-30% high vegetation,NoVeg,Mixed_LowNo,rock_veg,rock_veg,rock_veg,,98
